Date,Open,High,Low,Close,Adj Close,Volume
2015-04-14,1198.800049,1200.599976,1184.099976,1192.800049,1192.800049,424
2015-04-15,1194.599976,1203.099976,1188.599976,1201.500000,1201.500000,546
2015-04-16,1204.300049,1208.500000,1194.599976,1198.000000,1198.000000,196
2015-04-17,1200.199951,1206.000000,1200.199951,1202.900024,1202.900024,199
2015-04-19,null,null,null,null,null,null
2015-04-20,1205.699951,1206.900024,1191.000000,1193.500000,1193.500000,21
2015-04-21,1193.199951,1202.900024,1192.800049,1202.900024,1202.900024,67
2015-04-22,1199.099976,1202.599976,1185.199951,1186.900024,1186.900024,33
2015-04-23,1187.199951,1197.000000,1186.099976,1194.400024,1194.400024,93
2015-04-24,1192.300049,1194.699951,1174.599976,1175.199951,1175.199951,331
2015-04-26,null,null,null,null,null,null
2015-04-27,1182.300049,1206.699951,1181.400024,1203.300049,1203.300049,52
2015-04-28,1199.699951,1214.000000,1199.699951,1214.000000,1214.000000,194
2015-04-29,1211.199951,1212.599976,1201.900024,1209.800049,1209.800049,401
2015-04-30,1203.099976,1205.900024,1176.699951,1182.400024,1182.400024,114
2015-05-01,1178.099976,1178.099976,1170.000000,1174.500000,1174.500000,143
